time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-08-19T21:44:52.250Z,-8.3391,116.5462,10,4.7,mb,,78,2.372,0.89,us,us1000gdj3,2018-08-19T22:15:28.040Z,"3km NNE of Sembalunlawang, Indonesia",earthquake,7.2,1.9,0.142,15,reviewed,us,us
2018-08-19T21:21:54.130Z,-8.5258,116.9682,35,4.9,mb,,81,2.786,1.58,us,us1000gdii,2018-08-19T21:31:47.040Z,"1km NNE of Lekong, Indonesia",earthquake,8.1,2,0.168,11,reviewed,us,us
2018-08-19T18:23:23.840Z,-8.4028,116.896,10,5.2,mb,,46,2.715,0.86,us,us1000gdf0,2018-08-19T18:42:56.040Z,"13km NNW of Labuhanmapin, Indonesia",earthquake,6.9,1.8,0.068,72,reviewed,us,us
2018-08-19T16:37:37.740Z,-8.369,116.8489,10,5.3,mb,,38,2.67,0.9,us,us1000gde5,2018-08-19T18:05:35.447Z,"17km E of Sambelia, Indonesia",earthquake,6.9,1.8,0.078,55,reviewed,us,us
2018-08-19T16:21:07.470Z,-8.4277,116.8233,10,5,mb,,87,2.642,0.56,us,us1000gddw,2018-08-20T00:24:10.715Z,"15km ESE of Sambelia, Indonesia",earthquake,7.7,1.9,0.106,28,reviewed,us,us
2018-08-19T16:10:03.290Z,-8.1908,116.7577,14.16,4.1,mb,,119,4.336,0.85,us,us1000givy,2018-08-30T15:39:51.040Z,"19km NE of Belanting, Indonesia",earthquake,13.2,5.7,0.166,10,reviewed,us,us
2018-08-19T15:58:28.220Z,-8.4549,116.8678,18.6,4,mb,,183,2.686,0.38,us,us1000giqt,2018-08-30T15:17:26.040Z,"10km NW of Labuhanmapin, Indonesia",earthquake,13.6,10.8,0.212,6,reviewed,us,us
2018-08-19T15:51:39.950Z,-8.4504,116.8652,10,4.4,mb,,98,2.684,0.38,us,us1000giqq,2018-08-30T14:18:21.040Z,"11km NW of Labuhanmapin, Indonesia",earthquake,7.5,2,0.239,5,reviewed,us,us
2018-08-19T15:47:24.440Z,-8.3437,116.8124,5.62,4.7,mb,,77,2.635,1.06,us,us1000giqp,2018-08-30T14:07:31.040Z,"14km ENE of Sambelia, Indonesia",earthquake,7.4,3.9,0.153,13,reviewed,us,us
2018-08-19T15:46:00.220Z,-8.2566,116.658,10,4.9,mb,,61,2.488,0.73,us,us1000gdd3,2018-08-30T13:49:17.040Z,"6km NNE of Belanting, Indonesia",earthquake,7.3,1.8,0.141,20,reviewed,us,us
2018-08-19T15:45:54.230Z,-8.3371,116.8288,10,4.2,mb,,117,2.651,0.66,us,us1000giw7,2018-08-30T13:47:38.040Z,"16km ENE of Sambelia, Indonesia",earthquake,6.5,2,0.186,8,reviewed,us,us
2018-08-19T15:39:50.890Z,-8.3704,116.9021,10,4.1,mb,,133,2.722,0.21,us,us1000giqr,2018-08-29T21:16:17.040Z,"16km NNW of Labuhanmapin, Indonesia",earthquake,5.9,2,0.261,4,reviewed,us,us
2018-08-19T15:28:58.880Z,-8.391,116.5568,10,5.5,mb,,30,2.38,1.17,us,us1000gdb7,2018-08-29T20:49:12.695Z,"1km ESE of Sembalunbumbung, Indonesia",earthquake,2.3,1.7,0.068,76,reviewed,us,us
2018-08-19T15:16:35.240Z,-8.3511,116.5565,10,5.8,mb,,41,2.381,0.88,us,us1000gdaz,2018-08-29T18:52:07.086Z,"2km ENE of Sembalunlawang, Indonesia",earthquake,6.8,1.7,0.056,123,reviewed,us,us
2018-08-19T15:15:09.090Z,-8.1289,116.4207,10,4.8,mb,,135,2.27,0.76,us,us1000giql,2018-08-29T17:02:56.040Z,"10km NNE of Karanggedang, Indonesia",earthquake,5.9,1.9,0.249,9,reviewed,us,us
2018-08-19T15:04:02.940Z,-8.2842,116.5942,10,5.6,mb,,87,2.423,0.67,us,us1000giqe,2018-08-29T15:41:55.247Z,"4km WNW of Belanting, Indonesia",earthquake,10.2,1.9,0.13,25,reviewed,us,us
2018-08-19T14:56:28.030Z,-8.3303,116.6312,25.21,6.9,mww,,31,2.456,0.94,us,us1000gda5,2018-08-30T01:16:09.712Z,"2km S of Belanting, Indonesia",earthquake,6.2,2.9,0.057,30,reviewed,us,us
