time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-09-25T07:16:24.970Z,-8.4217,107.0077,33.74,4.7,mb,,93,1.698,1.03,us,us2000au5i,2017-10-14T12:59:25.301Z,"106km SSW of Cigarogol, Indonesia",earthquake,6.8,5.2,0.097,32,reviewed,us,us
2017-09-24T22:05:54.610Z,-7.7805,107.7737,5.92,4.6,mb,,55,2.727,0.67,us,us2000au22,2017-10-31T03:14:41.040Z,"11km S of Cibera, Indonesia",earthquake,7.7,4.9,0.083,43,reviewed,us,us
2017-09-20T23:59:24.900Z,-6.1113,113.024,588,5.7,mww,,13,2.597,1.17,us,us2000as7r,2017-10-20T04:44:23.605Z,"102km NNE of Kemeduran, Indonesia",earthquake,7.9,1.8,0.06,27,reviewed,us,us
2017-09-20T16:25:11.310Z,-10.1961,118.8822,10.84,5.3,mb,,85,3.655,0.72,us,us2000arxl,2017-11-11T06:42:46.410Z,"60km SSW of Kahale, Indonesia",earthquake,7.5,4.1,0.063,85,reviewed,us,us
2017-09-13T19:37:27.000Z,-6.0986,112.9501,590.53,4.6,mb,,41,2.64,0.71,us,us2000alqh,2017-12-13T02:29:42.040Z,"100km NNE of Kemeduran, Indonesia",earthquake,10.1,7.7,0.069,63,reviewed,us,us
2017-09-09T04:53:39.610Z,-8.6068,119.1423,144.45,4.5,mb,,72,3.06,0.91,us,us2000ailp,2017-12-07T20:00:25.040Z,"14km E of Bombo, Indonesia",earthquake,7.4,9.1,0.116,22,reviewed,us,us
2017-09-02T03:32:22.220Z,-6.0389,104.9644,75.14,5,mb,,34,2.604,1.18,us,us2000ae1c,2017-11-28T18:33:57.040Z,"52km SSW of Padangcermin, Indonesia",earthquake,7.5,4.3,0.06,91,reviewed,us,us
2017-09-01T03:47:34.730Z,-11.5035,112.7922,10,4.8,mb,,78,3.298,0.95,us,us2000adrc,2017-11-28T18:33:55.040Z,"South of Java, Indonesia",earthquake,7.4,1.8,0.075,56,reviewed,us,us
2017-08-27T00:02:22.440Z,-10.326,111.1036,10,5.2,mww,,23,2.465,1.14,us,us2000ac5g,2017-11-28T18:33:48.040Z,"228km S of Ngulung Wetan, Indonesia",earthquake,6.4,1.7,0.071,19,reviewed,us,us
2017-08-25T22:11:29.340Z,-7.3238,105.7976,35,4.5,mb,,133,1.87,0.78,us,us2000ad5y,2017-11-22T03:43:33.040Z,"55km S of Binuangeun, Indonesia",earthquake,5.1,2,0.271,4,reviewed,us,us
2017-08-21T22:53:22.030Z,-9.3234,113.4273,52.87,4.6,mb,,88,1.109,1.25,us,us2000aag3,2017-11-22T03:43:27.040Z,"104km S of Sumberejo, Indonesia",earthquake,7.8,6.8,0.1,30,reviewed,us,us
2017-08-17T23:04:58.790Z,-6.5499,105.3828,77.1,4.5,mb,,153,3.25,0.88,us,us2000aawm,2017-11-14T01:42:12.040Z,"30km WNW of Karangbolong, Indonesia",earthquake,12.1,4.9,0.156,12,reviewed,us,us
2017-08-13T05:31:47.000Z,-7.6158,115.9465,304.1,4.8,mb,,46,1.969,0.97,us,us2000a7rf,2017-11-14T01:42:05.040Z,"78km NNW of Lokokrangan, Indonesia",earthquake,7.7,5.1,0.06,86,reviewed,us,us
2017-08-10T05:57:18.590Z,-8.1513,103.9711,10,5.2,mb,,104,2.847,0.59,us,us2000a6sy,2017-10-25T00:38:06.040Z,"235km SW of Tugu Hilir, Indonesia",earthquake,7.1,1.6,0.062,86,reviewed,us,us
2017-08-03T16:14:23.470Z,-8.1608,108.9879,63.18,5,mww,,27,1.54,1.18,us,us2000a467,2017-10-18T01:54:17.040Z,"50km S of Karangbadar Kidul, Indonesia",earthquake,6.7,3.3,0.089,12,reviewed,us,us
2017-07-24T13:09:22.100Z,-7.13,104.6723,10,4.5,mb,,164,2.936,0.45,us,us2000a25q,2017-10-14T00:19:37.040Z,"111km WSW of Tugu Hilir, Indonesia",earthquake,8,2,0.314,3,reviewed,us,us
