time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-08-19T14:56:28.030Z,-8.3303,116.6312,25.21,6.9,mww,,31,2.456,0.94,us,us1000gda5,2018-08-30T01:16:09.712Z,"2km S of Belanting, Indonesia",earthquake,6.2,2.9,0.057,30,reviewed,us,us
2018-08-19T10:42:17.990Z,-8.2623,116.6518,19.06,4.7,mb,,64,2.482,0.95,us,us1000gd72,2018-08-25T06:09:21.702Z,"5km NNE of Belanting, Indonesia",earthquake,7.2,4.2,0.126,19,reviewed,us,us
2018-08-19T09:50:14.070Z,-8.338,116.7621,35,4.7,mb,,68,2.585,1.06,us,us1000gd6k,2018-08-25T06:02:18.908Z,"9km ENE of Sambelia, Indonesia",earthquake,8.1,2,0.115,23,reviewed,us,us
2018-08-19T04:10:21.570Z,-8.3246,116.5765,7.91,6.3,mww,,27,2.403,1.12,us,us1000gcvr,2018-08-24T15:41:50.849Z,"6km NE of Sembalunlawang, Indonesia",earthquake,6.3,4.2,0.078,16,reviewed,us,us
2018-08-19T04:06:13.080Z,-8.4009,116.5998,10,5.4,mb,,41,2.422,0.59,us,us1000gcvp,2018-08-24T15:44:55.486Z,"6km ESE of Sembalunbumbung, Indonesia",earthquake,6.8,1.9,0.086,46,reviewed,us,us
2018-08-17T17:22:04.930Z,-7.401,106.6178,65.88,4.6,mb,,60,3.205,1.2,us,us1000gbnf,2018-08-18T21:14:27.485Z,"6km S of Karadenan, Indonesia",earthquake,6.9,7.3,0.091,36,reviewed,us,us
2018-08-17T15:35:02.070Z,-7.4139,119.819,538.68,6.5,mww,,54,2.385,0.98,us,us1000gbi4,2018-08-24T15:40:58.037Z,"109km NNW of Kampungbajo, Indonesia",earthquake,8.2,5.1,0.073,18,reviewed,us,us
2018-08-15T09:04:09.090Z,-8.2754,116.516,10,4.5,mb,,77,2.347,0.39,us,us1000g9l5,2018-08-24T15:44:20.532Z,"3km WSW of Obelobel, Indonesia",earthquake,7.9,1.9,0.221,6,reviewed,us,us
2018-08-13T01:42:21.880Z,-8.365,116.2402,10,4.6,mb,,62,2.068,0.84,us,us1000g7lr,2018-08-20T23:27:03.367Z,"6km E of Todo, Indonesia",earthquake,5.8,1.9,0.164,11,reviewed,us,us
2018-08-10T15:57:38.150Z,-8.0879,116.4287,10,4.8,mb,,64,2.285,1.21,us,us1000g6f2,2018-08-26T14:06:57.040Z,"15km N of Anyar, Indonesia",earthquake,6.7,1.7,0.102,30,reviewed,us,us
2018-08-09T20:33:05.030Z,-8.3405,116.6074,18.85,4.6,mb,,81,2.432,0.66,us,us1000g62q,2018-08-27T21:43:00.932Z,"4km SSW of Belanting, Indonesia",earthquake,5.7,5.6,0.107,26,reviewed,us,us
2018-08-09T05:25:31.910Z,-8.3939,116.2078,10,5.9,mww,,14,2.035,1.43,us,us1000g5n1,2018-08-28T16:40:30.027Z,"3km SE of Todo, Indonesia",earthquake,5.8,1.7,0.073,18,reviewed,us,us
