time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2013-03-26T17:23:58.100Z,-9.353,120.278,68.7,5.5,mwb,296,33.3,,0.99,us,usb000fsz8,2014-11-07T01:50:23.606Z,"16km NE of Tambulatana, Indonesia",earthquake,,3.9,,,reviewed,us,us
2012-11-01T14:12:01.820Z,-6.762,107.529,142.1,5.7,mww,271,23.8,,1.08,us,usp000juw5,2015-06-30T16:59:04.012Z,"Java, Indonesia",earthquake,,3.7,,,reviewed,us,us
2012-09-15T16:32:21.510Z,-10.732,113.865,10,5.7,mww,170,23.1,,1.01,us,usp000jscb,2015-03-24T02:07:02.123Z,"south of Java, Indonesia",earthquake,,,,,reviewed,us,us
2012-09-03T18:23:05.230Z,-10.708,113.931,14,6.1,mww,389,15.5,,1.06,us,usp000jrkr,2015-06-30T16:59:03.994Z,"south of Java, Indonesia",earthquake,,,,,reviewed,us,us
2012-06-12T05:59:38.690Z,-5.677,105.494,163.9,5.5,mb,444,15.7,,0.93,us,usp000jmnp,2015-03-24T01:30:25.336Z,"Sunda Strait, Indonesia",earthquake,,3.3,,118,reviewed,us,us
2012-06-04T11:18:13.450Z,-7.692,106.371,50,5.9,mww,542,26.6,,0.88,us,usp000jmap,2015-06-30T16:59:03.971Z,"Java, Indonesia",earthquake,,,,,reviewed,us,us
2012-04-14T19:26:43.250Z,-6.81,105.457,62.7,5.8,mww,456,18.5,,1.07,us,usp000jhz5,2017-10-11T20:05:03.478Z,"Sunda Strait, Indonesia",earthquake,,4.7,,,reviewed,us,us
2012-01-20T20:32:53.440Z,-8.406,119.701,126.3,5.7,mww,410,14.6,,0.95,us,usp000jds3,2015-03-24T01:24:56.535Z,"Flores region, Indonesia",earthquake,,3.9,,,reviewed,us,us
2011-11-28T09:13:11.340Z,-7.019,116.983,616.5,5.8,mww,521,14.7,,0.78,us,usp000jbh2,2015-05-13T18:54:01.000Z,"Bali Sea",earthquake,,2.3,,,reviewed,us,us
2011-10-13T03:16:30.160Z,-9.35,114.587,39,6.1,mww,456,18.4,,1.07,us,usp000j99g,2015-06-30T16:59:03.899Z,"south of Bali, Indonesia",earthquake,,,,,reviewed,us,us
2011-08-22T20:12:20.950Z,-6.282,104.054,29,6.1,mww,317,16.1,,0.95,us,usp000j6vx,2015-06-30T16:59:03.886Z,"Sunda Strait, Indonesia",earthquake,,,,,reviewed,us,us
2011-05-28T17:07:41.080Z,-5.704,103.493,32,5.7,mww,455,16.4,,0.92,us,usp000j2c3,2015-05-13T18:54:00.000Z,"southern Sumatra, Indonesia",earthquake,,,,,reviewed,us,us
2011-05-17T00:14:57.650Z,-9.203,112.585,28,5.7,mww,345,24.3,,1.12,us,usp000j1q5,2015-06-30T16:59:03.847Z,"south of Java, Indonesia",earthquake,,,,,reviewed,us,us
2011-04-26T06:39:36.520Z,-8.081,108.477,95.4,5.6,mww,215,27,,1.03,us,usp000j0m1,2015-05-13T18:54:00.000Z,"Java, Indonesia",earthquake,,6.7,,,reviewed,us,us
